"Ticker","Book Value per Share","PE ratio","PB ratio","Enterprise Value over EBITDA","returnOnEquity","assetTurnover","Dividend Yield","interestCoverage","Free Cash Flow Yield","EPS Diluted Growth","debtEquityRatio","currentRatio","Market Cap","EBITDA Margin","Profit Margin","operatingCashFlowSalesRatio","Revenue Growth","Price Variation","Class"
"ADTN",9.841,31.4583,2.2852,16.1608,0.0735,0.95435791,0.0159,82.9843,0.0188,1,0.0559,2.789,1096218415,0.097,0.055,0.065959883,0.0612,-13.12792723,"0"
"ADTN",9.96,26.9136,2.1372,14.4856,0.0813,0.852866004,0.0165,89.4874,0.0376,0.039,0.0525,2.95,1184179706,0.12,0.071,0.088629174,-0.0183,-19.23018044,"0"
"ADTN",9.321,0,1.1489,0,-0.0433,0.842761537,0.0335,-61.6098,0.0925,-1.8163,0.0574,3.012,511763631.3,-0.032,-0.037,0.104773115,-0.2064,-6.180654958,"0"
"AEHR",-0.054,0,0,0,9.6515,1.443460084,0,-10.1983,-0.5415,0.0545,-8.4808,1.869,13296039.96,-0.411,-0.468,-0.433142542,0.4475,-13.86554235,"0"
"AEHR",0.379,0,6.5123,0,-1.4551,0.673796072,0,-49.8692,-0.0778,-14.75,0.8299,2.193,30501729.6,-0.634,-0.664,-0.22519465,-0.4911,-28.19149425,"0"
"AEHR",1.034,0,5.1308,0,-0.3362,0.611744141,0,-7.3009,-0.0647,0.3269,0.3634,3.726,76880956.3,-0.248,-0.299,-0.237855858,0.3032,-49.64285748,"0"
"AEHR",0.648,56.5,3.5541,41.6539,0.0599,1.610143149,0,16.6538,-0.0359,1.1111,0.1102,2.281,24941346.44,0.029,0.021,-0.030837228,0.1938,-31.63636381,"0"
"AEHR",0.888,130,2.9677,36.4608,0.0274,0.954773058,0,2.1404,-0.0337,1.0571,0.3165,2.642,57079698,0.043,0.018,-0.045711386,0.5639,-29.87013309,"0"
"AEIS",9.871,17.0717,5.5504,12.8983,0.3251,0.846333257,0,0,0.0517,1.8252,0,4.612,2174943610,0.303,0.263,0.246611564,0.1661,23.13869397,"1"
"AEIS",13.097,20.0029,5.2867,11.1868,0.2648,0.915047974,0,0,0.0631,0.081,0,5.609,2752614234,0.312,0.205,0.2722768,0.3872,-38.15012528,"0"
"AEIS",11.751,20.431,2.0124,11.1666,0.0989,0.53659096,0,0,0.0776,2.6286,0,3.347,950286670.8,0.201,0.128,0.210060082,0.227,16.55656624,"1"
"AEIS",15.526,11.4176,2.7166,6.9981,0.2423,0.880472857,0,0,0.0792,0.0836,0,5.153,1652335131,0.259,0.205,0.210422428,0.0714,64.24452008,"1"
"AEIS",6.469,0,4.3129,0,-0.6013,0.896882831,0,0,0.0869,-4.4123,0,3.102,1158615180,-0.308,-0.382,0.252425804,0.1293,-102.2534193,"0"
"AEMD",7.47,0,2.8112,0,-0.9259,0.020351871,0,-14.7069,-0.1695,0.5106,0.1371,15.127,23212476,-35.304,-37.959,-26.13654135,-0.6184,-39.24050934,"0"
"AEMD",1.307,0,37.4723,0,-10.7574,0.227108589,0,-22.9086,-0.1353,-0.4242,0.7676,2.611,26035494.75,-17.699,-18.558,-8.941957238,-0.5578,-43.10344952,"0"
"AEMD",3.15,0,1.7538,0,-3.1379,0.350546199,0,-7.4916,-0.1062,0.459,0.3221,4.513,40856064,-4.805,-5.496,-4.883198432,0.1628,-71.89054725,"0"
"AEMD",1.65,0,8.2396,0,-11.0442,0.552240784,0,-14.0288,-0.0665,0.6453,0.2522,2.098,75968827.5,-8.273,-8.915,-6.622903214,-0.5305,-33.33333838,"0"
"AEMD",-57.773,0,0,0,0.8936,0.957918167,0,-9.3768,-0.0561,-1.2933,-0.1695,0.095,39806805,-7.42,-8.226,-1.317287742,0.3201,-65.17948738,"0"
"AEY",3.935,0,0.5933,19.0061,-2e-04,0.672001393,0,1.9781,-0.0633,-1,0.1543,5.563,23396009.98,0.035,0,-0.040026062,0.2515,-24.58333871,"0"
"AEY",4.077,14.9333,0.5548,5.6925,0.0364,0.846123254,0,8.438,0.1184,0,0.1274,6.668,22563791.04,0.087,0.034,0.065020161,0.2186,-1.666665121,"0"
"AEY",4.105,58.3333,0.4317,8.9899,0.0071,0.769140242,0,3.0047,0.1817,-0.8,0.1049,6.167,17734911.25,0.051,0.008,0.091572481,-0.1159,-15.5172402,"0"
"AEY",4.087,0,0.3616,9.2448,-0.0024,0.888165418,0,0.3736,0.1882,-1.3333,0.1507,3.358,14880676.24,0.038,-0.002,0.061354612,0.2599,-2.040814341,"0"
"AEY",3.361,0,0.4089,0,-0.212,1.068012002,0,-23.5112,0.2636,-70,0.0578,3.367,14119418.65,-0.081,-0.154,0.080681551,-0.0267,74.46809194,"1"
"AGYS",5.559,0,1.7704,0,-0.0926,0.570246523,0,-260.4792,-0.1009,-1.6623,0.0015,2.075,224573931.4,-0.066,-0.111,-0.021117916,0.0222,-6.365502055,"0"
"AGYS",5.492,0,1.8601,0,-0.0305,0.650075341,0,-128.6207,-0.0585,0.6667,0.0027,1.765,234565111.8,-0.002,-0.031,0.0599671,0.1628,-13.70369922,"0"
"AGYS",5.026,0,1.8826,0,-0.1031,0.763145154,0,-764.6667,-0.0575,-2.0588,0.0021,1.587,219510837,-0.06,-0.092,0.026887953,0.0607,-14.99598914,"0"
"AGYS",6.003,17.4026,2.2429,8.5635,0.1287,0.530453914,0,80.3804,-0.0536,13.8333,0.0025,2.697,301243376.6,0.233,0.169,0.000720909,0.0772,-19.43548324,"0"
"AGYS",4.756,0,2.4997,0,-0.077,0.810142042,0,-1159.1,-0.0296,0.2885,0.0016,1.434,276260898.6,-0.056,-0.066,0.05397299,-0.0025,75.24137826,"1"
"AIRG",4.873,77,1.9018,23.4433,0.0247,0.879627197,0,12.8218,-0.0058,-0.725,0.0288,4.736,88507539.12,0.046,0.023,-0.005142366,0.1402,7.251083256,"1"
"AIRG",4.742,0,2.1068,0,-0.0572,1.145882624,0,-79.1206,0.0039,-3.4545,0,5.736,98254786.01,-0.02,-0.043,0.022705306,0.2242,4.598818993,"1"
"AIRG",13.35,21.3692,1.0405,13.1225,0.0829,0.774726242,0,21.9781,0.0417,1.093,0.0604,5.499,105282380.3,0.11,0.051,0.107503138,0.5628,-35.27718107,"0"
"AIRG",-60.487,0,0.3456,26.1802,0.0069,1.821252883,0,-5.8303,0.0428,-0.5035,-0.1103,1.238,58928880,0.009,-0.098,0.066521072,0.0895,79.99999523,"1"
"AKAM",16.521,33.6684,3.808,14.8834,0.1134,0.490778814,0,32.0274,0.0303,0.1429,0.2054,3.78,11206499973,0.378,0.17,0.335087689,0.2446,-16.79051215,"0"
"AKAM",19.599,50.4308,3.3035,15.6527,0.0663,0.535401156,0,17.6777,0.0348,-0.2912,0.1972,2.948,11089587943,0.283,0.089,0.321804635,0.0601,-6.833428759,"0"
"AKAM",17.495,29.2389,2.9982,11.9185,0.103,0.525493557,0,25.6491,0.0372,-0.0326,0.198,3.77,9364927096,0.353,0.146,0.361078851,0.1189,27.47084411,"1"
"AKAM",18.434,36.9235,3.6324,14.0521,0.0995,0.536910499,0,26.0221,0.0474,0.0225,0.1985,3.497,11709874986,0.349,0.137,0.371301727,0.0685,-3.744263417,"0"
"AKAM",19.077,34.3146,3.1184,11.7157,0.0935,0.496995296,0,8.9415,0.0606,0.3643,0.4889,2.094,9947856868,0.302,0.11,0.371463127,0.0906,46.38196867,"1"
